date,이차전지,석유제품,석유화학,철강제품,반도체,평판DP,무선통신,가전,일반기계,자동차,선박
2001-01-01,17.49,54.86,36.38,55.22,1.82,8.37,18.71,45.96,20.8,52.77,
2001-02-01,14.06,59.76,34.93,58.51,1.29,4.3,9.46,43.71,36.28,38.06,
2001-03-01,13.13,64.65,38.22,61.65,1.33,4.17,10.74,47.05,43.3,46.13,
2001-04-01,10.72,53.33,32.79,59.21,1.16,3.92,9.31,45.41,28.74,41.38,
2001-05-01,11.16,68.8,36.51,63.15,1.27,4.91,10.31,43.17,27.74,48.26,
2001-06-01,12.48,50.33,36.64,56.62,1.38,5.44,12.2,38.57,24.83,51.21,
2001-07-01,12.88,52.16,37.25,54.97,1.22,6.1,10.8,40.81,23.38,42.39,
2001-08-01,13.68,62.02,38.24,58.06,1.37,6.72,13.47,41.88,22.81,47.62,
2001-09-01,16.66,47.92,36.3,56.16,1.55,7.67,14.6,46.67,21.5,52.13,
2001-10-01,25.39,53.11,33.85,50.46,1.64,7.78,16.82,46.37,19.14,49.73,
2002-01-01,24.67,48.4,38.55,51.5,2.38,11.0,28.64,62.47,24.29,61.64,
2002-02-01,16.02,42.19,35.62,50.8,1.38,8.3,13.61,43.5,29.0,37.76,
2002-03-01,18.08,43.71,36.43,61.67,1.58,9.31,17.17,51.11,37.31,48.25,
2002-04-01,21.11,46.43,36.66,56.72,1.63,9.16,15.54,54.1,38.35,50.33,
2002-05-01,19.53,46.55,35.76,56.21,1.76,9.69,17.19,58.63,30.13,52.34,
2002-06-01,19.0,45.23,35.67,54.31,1.95,9.19,18.0,50.0,24.38,33.82,
2002-07-01,20.27,49.75,37.1,56.22,1.98,10.1,16.65,55.25,27.11,45.45,
2002-08-01,19.27,53.63,34.54,53.8,2.11,9.36,19.94,52.76,22.37,51.98,
2002-09-01,21.91,49.07,35.66,48.64,2.03,8.68,22.51,58.62,22.76,47.51,
2002-10-01,24.8,44.02,38.59,56.39,2.38,10.95,27.39,68.22,28.21,62.98,
2003-01-01,26.27,38.54,44.48,63.71,3.0,18.06,38.36,68.56,31.4,78.84,
2003-02-01,24.43,42.07,35.3,54.86,1.84,11.15,24.53,59.53,32.9,48.84,
2003-03-01,26.77,48.99,37.77,61.27,2.11,13.76,27.95,69.95,41.41,53.35,
2003-04-01,25.57,51.54,38.84,58.55,2.1,13.56,25.45,64.74,37.69,64.85,
2003-05-01,26.65,33.91,39.84,57.31,2.26,15.44,23.42,54.42,33.14,59.45,
2003-06-01,26.67,41.23,42.23,58.24,2.4,14.83,27.43,57.57,33.42,57.07,
2003-07-01,27.03,49.1,42.12,58.26,2.59,16.87,29.14,66.27,29.21,33.62,
2003-08-01,23.83,35.07,38.86,57.75,2.73,16.66,32.03,62.45,25.39,42.77,
2003-09-01,27.66,31.4,35.97,61.78,2.91,18.08,34.59,74.26,29.46,61.43,
2003-10-01,30.26,40.89,42.81,67.37,3.2,17.62,38.59,88.86,33.79,83.28,
2004-01-01,24.83,49.14,41.29,64.0,3.74,19.35,62.04,72.7,37.05,101.12,
2004-02-01,20.31,47.43,41.94,68.19,2.77,19.27,38.11,72.88,48.01,70.38,
